session_key,meeting_key,driver_number,lap_number,date_start,lap_duration,duration_sector_1,duration_sector_2,duration_sector_3,compound,stint_number,lap_in_stint,tyre_age_at_start,tyre_age,has_complete_timing,is_start_lap,is_pit_in_lap,is_pit_out_lap,is_deleted,is_neutralised,is_valid_for_pace,exclusion_reason,has_position_data,position_at_start,position_at_end,position_update_count,position_changed,interval_min,interval_median,interval_max,interval_sample_count,gap_to_leader_min,gap_to_leader_median,gap_to_leader_max,gap_to_leader_sample_count,has_related_position_change,related_position_change_count
9472,1229,4,5,2024-03-02T15:10:18.228000+00:00,97.794,31.258,42.379,24.157,SOFT,1,5,3,7,True,False,False,False,False,False,True,,True,6,6,0,False,2.897,3.277,3.65,28,8.306,8.726,9.057,28,False,0
9472,1229,4,6,2024-03-02T15:11:55.985000+00:00,97.896,31.027,42.622,24.247,SOFT,1,6,3,8,True,False,False,False,False,False,True,,True,6,6,0,False,2.918,3.0835,3.449,28,8.89,9.387,9.86,28,False,0
9472,1229,4,7,2024-03-02T15:13:33.929000+00:00,97.86,31.074,42.514,24.272,SOFT,1,7,3,9,True,False,False,False,False,False,True,,True,6,6,0,False,2.632,3.0115,3.558,28,9.678,10.2275,10.682,28,False,0
9472,1229,4,8,2024-03-02T15:15:11.730000+00:00,98.134,31.171,42.688,24.275,SOFT,1,8,3,10,True,False,False,False,False,False,True,,True,6,6,0,False,2.276,2.5865,3.119,28,10.538,11.105,11.792,27,False,0
9472,1229,4,9,2024-03-02T15:16:49.846000+00:00,98.064,31.051,42.721,24.292,SOFT,1,9,3,11,True,False,False,False,False,False,True,,True,6,6,0,False,2.336,2.642,3.071,28,11.64,12.162,12.628,28,False,0
9472,1229,4,11,2024-03-02T15:20:05.925000+00:00,98.172,31.163,42.74,24.269,SOFT,1,11,3,13,True,False,False,False,False,False,True,,True,6,5,1,True,2.044,2.434,3.426,28,13.476,14.0615,14.69,26,True,1
9472,1229,4,12,2024-03-02T15:21:44.002000+00:00,98.082,31.232,42.561,24.289,SOFT,1,12,3,14,True,False,False,False,False,False,True,,True,5,4,1,True,2.875,3.704,5.488,26,14.592,15.2205,15.727,28,True,1
9472,1229,4,15,2024-03-02T15:27:00.555000+00:00,96.912,31.011,42.058,23.843,HARD,2,2,0,1,True,False,False,False,False,False,True,,True,9,8,1,True,4.522,4.766,5.614,25,39.975,40.0855,40.345,28,True,1
9472,1229,4,16,2024-03-02T15:28:37.388000+00:00,96.565,30.716,42.031,23.818,HARD,2,3,0,2,True,False,False,False,False,False,True,,True,8,6,1,True,5.174,5.323,5.704,27,39.372,39.6235,39.951,28,True,2
9472,1229,4,17,2024-03-02T15:30:13.916000+00:00,96.776,31.049,41.973,23.754,HARD,2,4,0,3,True,False,False,False,False,False,True,,True,6,6,0,False,5.105,5.313,5.911,27,36.252,39.2195,39.48,28,False,0
9472,1229,4,18,2024-03-02T15:31:50.859000+00:00,96.508,30.803,41.777,23.928,HARD,2,5,0,4,True,False,False,False,False,False,True,,True,6,6,0,False,4.051,4.384,5.205,28,14.19,14.5485,15.526,26,False,0
9472,1229,4,19,2024-03-02T15:33:27.355000+00:00,96.416,30.87,41.774,23.772,HARD,2,6,0,5,True,False,False,False,False,False,True,,True,6,6,0,False,3.736,3.8775,4.25,28,14.728,15.6135,16.039,28,False,0
9472,1229,4,20,2024-03-02T15:35:03.732000+00:00,96.501,30.817,41.871,23.813,HARD,2,7,0,6,True,False,False,False,False,False,True,,True,6,6,0,False,3.449,3.583,3.867,28,15.891,16.734,17.38,27,False,0
9472,1229,4,21,2024-03-02T15:36:40.343000+00:00,96.62,30.889,41.825,23.906,HARD,2,8,0,7,True,False,False,False,False,False,True,,True,6,6,0,False,2.981,3.1965,3.565,28,17.299,17.974,18.684,27,False,0
9472,1229,4,22,2024-03-02T15:38:16.778000+00:00,96.668,30.839,41.822,24.007,HARD,2,9,0,8,True,False,False,False,False,False,True,,True,6,6,0,False,2.827,2.954,3.268,28,18.647,19.437,20.148,28,False,0
9472,1229,4,23,2024-03-02T15:39:53.580000+00:00,96.696,30.92,41.877,23.899,HARD,2,10,0,9,True,False,False,False,False,False,True,,True,6,6,0,False,2.69,2.75,3.096,27,20.085,20.871,21.628,27,False,0
9472,1229,4,24,2024-03-02T15:41:30.241000+00:00,96.823,30.89,42.047,23.886,HARD,2,11,0,10,True,False,False,False,False,False,True,,True,6,6,0,False,2.45,2.6285,2.782,28,21.574,22.5225,23.162,28,False,0
9472,1229,4,25,2024-03-02T15:43:07.105000+00:00,96.73,30.923,41.924,23.883,HARD,2,12,0,11,True,False,False,False,False,False,True,,True,6,6,0,False,2.414,2.5515,2.666,26,23.104,24.015,24.552,28,False,0
9472,1229,4,26,2024-03-02T15:44:43.799000+00:00,96.566,30.845,41.878,23.843,HARD,2,13,0,12,True,False,False,False,False,False,True,,True,6,6,0,False,2.33,2.448,2.65,28,24.495,25.227,25.895,27,False,0
9472,1229,4,27,2024-03-02T15:46:20.396000+00:00,96.726,30.873,41.939,23.914,HARD,2,14,0,13,True,False,False,False,False,False,True,,True,6,6,0,False,2.08,2.1955,2.391,28,25.808,26.428,27.038,27,False,0
9472,1229,4,28,2024-03-02T15:47:57.155000+00:00,97.018,30.98,41.984,24.054,HARD,2,15,0,14,True,False,False,False,False,False,True,,True,6,6,0,False,2.176,2.235,2.373,28,26.97,27.941,28.584,27,False,0
9472,1229,4,29,2024-03-02T15:49:34.073000+00:00,97.041,30.879,42.16,24.002,HARD,2,16,0,15,True,False,False,False,False,False,True,,True,6,6,0,False,2.171,2.369,2.451,27,28.436,29.232,29.827,27,False,0
9472,1229,4,30,2024-03-02T15:51:11.080000+00:00,96.986,30.946,42.076,23.964,HARD,2,17,0,16,True,False,False,False,False,False,True,,True,6,6,0,False,2.119,2.261,2.472,27,29.71,30.4895,31.043,28,False,0
9472,1229,4,32,2024-03-02T15:54:25.231000+00:00,97.171,30.994,42.14,24.037,HARD,2,19,0,18,True,False,False,False,False,False,True,,True,6,5,1,True,2.077,2.291,2.563,26,32.382,33.018,33.731,26,True,1
9472,1229,4,37,2024-03-02T16:02:48.969000+00:00,95.067,30.355,41.339,23.373,HARD,3,4,0,3,True,False,False,False,False,False,True,,True,6,6,0,False,2.354,2.636,2.81,28,52.035,55.5135,56.201,28,False,0
9472,1229,4,38,2024-03-02T16:04:24.164000+00:00,95.149,30.48,41.161,23.508,HARD,3,5,0,4,True,False,False,False,False,False,True,,True,6,6,0,False,2.629,2.852,3.176,27,30.506,30.7735,32.222,26,False,0
9472,1229,4,39,2024-03-02T16:05:59.266000+00:00,94.88,30.35,41.047,23.483,HARD,3,6,0,5,True,False,False,False,False,False,True,,True,6,6,0,False,2.772,2.925,3.218,28,30.694,32.002,33.011,28,False,0
9472,1229,4,40,2024-03-02T16:07:34.085000+00:00,95.276,30.366,41.222,23.688,HARD,3,7,0,6,True,False,False,False,False,False,True,,True,6,6,0,False,2.753,2.987,3.386,27,31.322,32.0895,33.008,28,False,0
9472,1229,4,41,2024-03-02T16:09:09.505000+00:00,95.069,30.318,41.261,23.49,HARD,3,8,0,7,True,False,False,False,False,False,True,,True,6,6,0,False,3.061,3.298,3.451,27,31.021,31.399,31.719,26,False,0
9472,1229,4,42,2024-03-02T16:10:44.570000+00:00,95.165,30.402,41.212,23.551,HARD,3,9,0,8,True,False,False,False,False,False,True,,True,6,6,0,False,3.146,3.4815,3.614,28,31.182,31.525,31.975,28,False,0
9472,1229,4,43,2024-03-02T16:12:19.712000+00:00,95.295,30.462,41.196,23.637,HARD,3,10,0,9,True,False,False,False,False,False,True,,True,6,6,0,False,3.437,3.656,3.936,28,31.865,32.6155,33.119,28,False,0
9472,1229,4,44,2024-03-02T16:13:54.953000+00:00,95.346,30.488,41.267,23.591,HARD,3,11,0,10,True,False,False,False,False,False,True,,True,6,6,0,False,3.554,3.818,4.008,27,32.788,33.4485,33.934,28,False,0
9472,1229,4,45,2024-03-02T16:15:30.301000+00:00,95.338,30.468,41.24,23.63,HARD,3,12,0,11,True,False,False,False,False,False,True,,True,6,6,0,False,3.899,4.0735,4.41,28,33.815,34.399,35.023,28,False,0
9472,1229,4,46,2024-03-02T16:17:05.675000+00:00,95.371,30.485,41.244,23.642,HARD,3,13,0,12,True,False,False,False,False,False,True,,True,6,6,0,False,3.58,4.166,4.464,28,34.952,35.3865,36.201,28,False,0
9472,1229,4,47,2024-03-02T16:18:41.051000+00:00,95.485,30.546,41.341,23.598,HARD,3,14,0,13,True,False,False,False,False,False,True,,True,6,6,0,False,3.232,3.357,3.981,28,36.048,36.812,37.447,28,False,0
9472,1229,4,48,2024-03-02T16:20:16.464000+00:00,95.717,30.638,41.369,23.71,HARD,3,15,0,14,True,False,False,False,False,False,True,,True,6,6,0,False,2.752,2.9835,3.377,28,37.378,38.172,38.814,28,False,0
9472,1229,4,49,2024-03-02T16:21:52.235000+00:00,95.674,30.64,41.34,23.694,HARD,3,16,0,15,True,False,False,False,False,False,True,,True,6,6,0,False,2.524,2.6795,3.026,28,38.773,39.511,40.086,28,False,0
9472,1229,4,50,2024-03-02T16:23:28.003000+00:00,95.657,30.563,41.375,23.719,HARD,3,17,0,16,True,False,False,False,False,False,True,,True,6,6,0,False,2.03,2.2725,2.722,28,39.942,40.6265,40.959,28,False,0
9472,1229,4,51,2024-03-02T16:25:03.574000+00:00,96.038,30.786,41.516,23.736,HARD,3,18,0,17,True,False,False,False,False,False,True,,True,6,6,0,False,2.057,2.21,2.37,28,41.063,42.0705,42.658,28,False,0
