lap,stint,compound,tyre_age_at_start,driving_time_s,pit_loss_s,cumulative_time_s
1,1,SOFT,3,97.654109,0.000000,97.654109
2,1,SOFT,4,97.701623,0.000000,195.355732
3,1,SOFT,5,97.749138,0.000000,293.104870
4,1,SOFT,6,97.796652,0.000000,390.901522
5,1,SOFT,7,97.844167,0.000000,488.745688
6,1,SOFT,8,97.891681,0.000000,586.637370
7,1,SOFT,9,97.939196,0.000000,684.576565
8,1,SOFT,10,97.986710,0.000000,782.563275
9,1,SOFT,11,98.034225,0.000000,880.597500
10,1,SOFT,12,98.081739,0.000000,978.679239
11,1,SOFT,13,98.129254,0.000000,1076.808493
12,1,SOFT,14,98.176768,0.000000,1174.985261
13,1,SOFT,15,98.224283,0.000000,1273.209543
14,1,SOFT,16,98.271797,0.000000,1371.481341
15,1,SOFT,17,98.319312,0.000000,1469.800652
16,1,SOFT,18,98.366826,0.000000,1568.167478
17,2,HARD,0,96.167209,22.000000,1686.334687
18,2,HARD,1,96.207884,0.000000,1782.542571
19,2,HARD,2,96.248559,0.000000,1878.791130
20,2,HARD,3,96.289234,0.000000,1975.080364
21,2,HARD,4,96.329909,0.000000,2071.410273
22,2,HARD,5,96.370584,0.000000,2167.780857
23,2,HARD,6,96.411260,0.000000,2264.192117
24,2,HARD,7,96.451935,0.000000,2360.644051
25,2,HARD,8,96.492610,0.000000,2457.136661
26,2,HARD,9,96.533285,0.000000,2553.669946
27,2,HARD,10,96.573960,0.000000,2650.243906
28,2,HARD,11,96.614635,0.000000,2746.858542
29,2,HARD,12,96.655310,0.000000,2843.513852
30,2,HARD,13,96.695986,0.000000,2940.209838
31,2,HARD,14,96.736661,0.000000,3036.946498
32,2,HARD,15,96.777336,0.000000,3133.723834
33,2,HARD,16,96.818011,0.000000,3230.541845
34,2,HARD,17,96.858686,0.000000,3327.400531
35,2,HARD,18,96.899361,0.000000,3424.299893
36,2,HARD,19,96.940036,0.000000,3521.239929
37,3,HARD,0,94.748981,22.000000,3637.988910
38,3,HARD,1,94.789656,0.000000,3732.778566
39,3,HARD,2,94.830331,0.000000,3827.608898
40,3,HARD,3,94.871006,0.000000,3922.479904
41,3,HARD,4,94.911682,0.000000,4017.391586
42,3,HARD,5,94.952357,0.000000,4112.343943
43,3,HARD,6,94.993032,0.000000,4207.336974
44,3,HARD,7,95.033707,0.000000,4302.370682
45,3,HARD,8,95.074382,0.000000,4397.445064
46,3,HARD,9,95.115057,0.000000,4492.560121
47,3,HARD,10,95.155733,0.000000,4587.715854
48,3,HARD,11,95.196408,0.000000,4682.912261
49,3,HARD,12,95.237083,0.000000,4778.149344
50,3,HARD,13,95.277758,0.000000,4873.427102
51,3,HARD,14,95.318433,0.000000,4968.745535
52,3,HARD,15,95.359108,0.000000,5064.104644
53,3,HARD,16,95.399783,0.000000,5159.504427
54,3,HARD,17,95.440459,0.000000,5254.944886
55,3,HARD,18,95.481134,0.000000,5350.426019
56,3,HARD,19,95.521809,0.000000,5445.947828
57,3,HARD,20,95.562484,0.000000,5541.510312
