lap,stint,compound,tyre_age_at_start,driving_time_s,pit_loss_s,cumulative_time_s
1,1,SOFT,3,97.654109,0.000000,97.654109
2,1,SOFT,4,97.701623,0.000000,195.355732
3,1,SOFT,5,97.749138,0.000000,293.104870
4,1,SOFT,6,97.796652,0.000000,390.901522
5,1,SOFT,7,97.844167,0.000000,488.745688
6,1,SOFT,8,97.891681,0.000000,586.637370
7,1,SOFT,9,97.939196,0.000000,684.576565
8,1,SOFT,10,97.986710,0.000000,782.563275
9,1,SOFT,11,98.034225,0.000000,880.597500
10,1,SOFT,12,98.081739,0.000000,978.679239
11,1,SOFT,13,98.129254,0.000000,1076.808493
12,1,SOFT,14,98.176768,0.000000,1174.985261
13,1,SOFT,15,98.224283,0.000000,1273.209543
14,2,HARD,0,96.379943,22.000000,1391.589486
15,2,HARD,1,96.420618,0.000000,1488.010104
16,2,HARD,2,96.461293,0.000000,1584.471397
17,2,HARD,3,96.501968,0.000000,1680.973365
18,2,HARD,4,96.542643,0.000000,1777.516009
19,2,HARD,5,96.583319,0.000000,1874.099327
20,2,HARD,6,96.623994,0.000000,1970.723321
21,2,HARD,7,96.664669,0.000000,2067.387990
22,2,HARD,8,96.705344,0.000000,2164.093334
23,2,HARD,9,96.746019,0.000000,2260.839353
24,2,HARD,10,96.786694,0.000000,2357.626047
25,2,HARD,11,96.827369,0.000000,2454.453416
26,2,HARD,12,96.868045,0.000000,2551.321461
27,2,HARD,13,96.908720,0.000000,2648.230181
28,2,HARD,14,96.949395,0.000000,2745.179576
29,2,HARD,15,96.990070,0.000000,2842.169646
30,2,HARD,16,97.030745,0.000000,2939.200391
31,2,HARD,17,97.071420,0.000000,3036.271811
32,2,HARD,18,97.112095,0.000000,3133.383907
33,2,HARD,19,97.152771,0.000000,3230.536677
34,3,HARD,0,94.961715,22.000000,3347.498392
35,3,HARD,1,95.002390,0.000000,3442.500783
36,3,HARD,2,95.043065,0.000000,3537.543848
37,3,HARD,3,95.083741,0.000000,3632.627589
38,3,HARD,4,95.124416,0.000000,3727.752004
39,3,HARD,5,95.165091,0.000000,3822.917095
40,3,HARD,6,95.205766,0.000000,3918.122861
41,3,HARD,7,95.246441,0.000000,4013.369303
42,3,HARD,8,95.287116,0.000000,4108.656419
43,3,HARD,9,95.327792,0.000000,4203.984211
44,3,HARD,10,95.368467,0.000000,4299.352677
45,3,HARD,11,95.409142,0.000000,4394.761819
46,3,HARD,12,95.449817,0.000000,4490.211636
47,3,HARD,13,95.490492,0.000000,4585.702128
48,3,HARD,14,95.531167,0.000000,4681.233295
49,3,HARD,15,95.571842,0.000000,4776.805138
50,3,HARD,16,95.612518,0.000000,4872.417655
51,3,HARD,17,95.653193,0.000000,4968.070848
52,3,HARD,18,95.693868,0.000000,5063.764716
53,3,HARD,19,95.734543,0.000000,5159.499259
54,3,HARD,20,95.775218,0.000000,5255.274477
55,3,HARD,21,95.815893,0.000000,5351.090370
56,3,HARD,22,95.856568,0.000000,5446.946939
57,3,HARD,23,95.897244,0.000000,5542.844183
